dataset,example_app_name,example_app_sha256,example_inner_path,library,so_name,so_sha256,abi,base_arch,task_architecture,project,library_version,feature,dolphin_feature_state,occurrence_count,apk_count,bench_binary,unique_binary,source_stored_so,result_json,gpt55_log,trajectory_dir,evidence
android,fr.emersion.goguma.apk,18b51b12a99ca639df7009cfb9943dca3662ba918c2f045422c9919837417c00,lib/arm64-v8a/libwebcrypto.so,libcrypto,libwebcrypto.so,01e6fc831c18d886df093fc118eb73d74822b3ff4c038fd4ca0f378b2157fa85,arm64-v8a,arm64,arm64-0002-01e6fc831c18,openssl,1.0.1g,asm,on,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0002_01e6fc831c18_gcc_O2_arm64-0002-01e6fc831c18,unique-binaries/libcrypto/01e6fc831c18d886df093fc118eb73d74822b3ff4c038fd4ca0f378b2157fa85/libwebcrypto.so,libs/libcrypto/01e6fc831c18d886df093fc118eb73d74822b3ff4c038fd4ca0f378b2157fa85/libwebcrypto.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0002-01e6fc831c18__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0002-01e6fc831c18__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0002-01e6fc831c18__ref__openssl-1.0.1g__version_same,"Fast path was unavailable, but the prioritized decompiled path contains ARM64/NEON-specific optimized bigint handling: sub_38D3C scans BIGNUM limbs using int8x16_t vectors and vorrq_s8/vextq_s8/vorr_s8 operations instead of purely scalar portable loops. The path also lacks the checked portable no-asm bn_sub_part_words diagnostic strings."
android,cz.slaby.dpc.apk,b709aec0205ea57fe1e3d1e5796e44c597a81e958004fa4ac43be8c2bc4f3c9f,lib/arm64-v8a/libcrypto.so,libcrypto,libcrypto.so,08f9414dfdb2a66d1962b5c730e107589e81ccf71e57baacab0da0973ee1600e,arm64-v8a,arm64,arm64-0007-08f9414dfdb2,openssl,1.0.1g,asm,on,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0007_08f9414dfdb2_gcc_O2_arm64-0007-08f9414dfdb2,unique-binaries/libcrypto/08f9414dfdb2a66d1962b5c730e107589e81ccf71e57baacab0da0973ee1600e/libcrypto.so,libs/libcrypto/08f9414dfdb2a66d1962b5c730e107589e81ccf71e57baacab0da0973ee1600e/libcrypto.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0007-08f9414dfdb2__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0007-08f9414dfdb2__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0007-08f9414dfdb2__ref__openssl-1.0.1g__version_same,"Decompiled bn_mul_mont contains architecture-specific dispatch: for limb counts divisible by 4 it checks OPENSSL_armv8_rsa_neonized and calls bn_mul8x_mont_neon(), otherwise dispatches to _bn_sqr8x_mont() for multiples of 8 and _bn_mul4x_mont() for multiples of 4 before falling back to generic Montgomery multiply code."
android,org.adaway.apk,0de00a58a0dbb4c4b6befc9fe1f5e53800993484baab955824798f46fbf3338e,lib/arm64-v8a/libcrypto.so,libcrypto,libcrypto.so,13593ad654a00866f14a95c7bd07d6cb898c132817f92fd91adf6eb218842831,arm64-v8a,arm64,arm64-0012-13593ad654a0,openssl,1.0.1g,asm,on,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0012_13593ad654a0_gcc_O2_arm64-0012-13593ad654a0,unique-binaries/libcrypto/13593ad654a00866f14a95c7bd07d6cb898c132817f92fd91adf6eb218842831/libcrypto.so,libs/libcrypto/13593ad654a00866f14a95c7bd07d6cb898c132817f92fd91adf6eb218842831/libcrypto.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0012-13593ad654a0__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0012-13593ad654a0__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0012-13593ad654a0__ref__openssl-1.0.1g__version_same,"Fast path unavailable, but prioritized decompiled path shows asm-style OpenSSL BN fast paths: BN_mod_exp_mont_consttime builds a constant-time Montgomery power table, repeatedly calls specialized Montgomery multiply helper sub_137A40 and table selection helper sub_13013C, and contains vectorized/NEON-like operations (int8x16_t/vmvnq_s8) while preparing Montgomery data. BN_mod_mul_montgomery is a thin wrapper around sub_137A40, and a later unlabelled function is a highly unrolled limb multiply/Montgomery arithmetic routine using 64x64->128 products and explicit carry propagation."
android,com.governikus.ausweisapp2.apk,b2e4e4f50520912a40b110cf38f6e6b0757cbeb50e22d9d065b2068763435fe2,lib/arm64-v8a/libcrypto_arm64-v8a.so,libcrypto,libcrypto_arm64-v8a.so,158ec771bc4e8fa0ba22bfbb794d34723f5cf35a353e26bbf28839debcce161a,arm64-v8a,arm64,arm64-0015-158ec771bc4e,openssl,1.0.1g,asm,off,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0015_158ec771bc4e_gcc_O2_arm64-0015-158ec771bc4e,unique-binaries/libcrypto/158ec771bc4e8fa0ba22bfbb794d34723f5cf35a353e26bbf28839debcce161a/libcrypto_arm64-v8a.so,libs/libcrypto/158ec771bc4e8fa0ba22bfbb794d34723f5cf35a353e26bbf28839debcce161a/libcrypto_arm64-v8a.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0015-158ec771bc4e__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0015-158ec771bc4e__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0015-158ec771bc4e__ref__openssl-1.0.1g__version_same,"Fast-path unique strings were unavailable. Decompiled prioritized path showed only generic Montgomery setup, a thin BN_mod_exp_mont_consttime wrapper calling another routine then cleanup, generic malloc/X509 helpers, and a stub function returning 0; no observed CPU capability initialization, assembler dispatch, or BN asm helper calls such as gather5/scatter5 or bn_div_3_words."
android,org.lufebe16.pysolfc.apk,896686a3b1d29c5b49bb3aa4f057591eb1d264ca4a8b09c10f5350fd29a3cb8c,lib/arm64-v8a/libcrypto.so,libcrypto,libcrypto.so,199ed8560e7e2def2a562ff7300979e1032b68c5a45057a55bd9f3c34caecc1f,arm64-v8a,arm64,arm64-0016-199ed8560e7e,openssl,1.0.1g,asm,off,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0016_199ed8560e7e_gcc_O2_arm64-0016-199ed8560e7e,unique-binaries/libcrypto/199ed8560e7e2def2a562ff7300979e1032b68c5a45057a55bd9f3c34caecc1f/libcrypto.so,libs/libcrypto/199ed8560e7e2def2a562ff7300979e1032b68c5a45057a55bd9f3c34caecc1f/libcrypto.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0016-199ed8560e7e__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0016-199ed8560e7e__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0016-199ed8560e7e__ref__openssl-1.0.1g__version_same,"Fast-path unique strings were unavailable; prioritized decompiled path showed portable C big-number code only: BN_div is a generic wrapper delegating to a C division implementation, BN_MONT_CTX_set computes Montgomery parameters via BN_mod_inverse/BN_div, and no observed window contained the expected asm fast-path calls such as bn_div_3_words or BN_ASM_MONT5 gather/scatter helpers."
android,de.srlabs.snoopsnitch.apk,b30615c1cce441b16c23a18cc7d9b5f440f7de8d3e02892fedbc607547bc4d1c,lib/arm64-v8a/libopenssl.so,libcrypto,libopenssl.so,1debccdb86e5e00be5f7f6794391856aa3a030886861db14d249daa77f7ef3f4,arm64-v8a,arm64,arm64-0017-1debccdb86e5,openssl,1.0.1g,asm,off,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0017_1debccdb86e5_gcc_O2_arm64-0017-1debccdb86e5,unique-binaries/libcrypto/1debccdb86e5e00be5f7f6794391856aa3a030886861db14d249daa77f7ef3f4/libopenssl.so,libs/libcrypto/1debccdb86e5e00be5f7f6794391856aa3a030886861db14d249daa77f7ef3f4/libopenssl.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0017-1debccdb86e5__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0017-1debccdb86e5__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0017-1debccdb86e5__ref__openssl-1.0.1g__version_same,"Fast path unavailable; prioritized decompiled path was exhausted without observing ASM feature semantics. Examined functions included generic app startup/main, structure copying, TLS extension handling, byte serialization, allocation helpers, and bignum word comparison; none showed OpenSSL CPUID setup, OPENSSL_ia32cap parsing/storage, BN_div bn_div_3_words calls, or BN_mod_exp_mont_consttime gather5/scatter5 Montgomery dispatch."
android,org.radar.app.apk,10720dd3bff862737f7270700fe07981f9770c0015343d5fb0e0ca94439fe87f,lib/arm64-v8a/libcrypto_1_1.so,libcrypto,libcrypto_1_1.so,20cb2cdb79844e2064de4884d493bf4efc008d84f37626552842a1ca4d9b4fa5,arm64-v8a,arm64,arm64-0021-20cb2cdb7984,openssl,1.0.1g,asm,off,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0021_20cb2cdb7984_gcc_O2_arm64-0021-20cb2cdb7984,unique-binaries/libcrypto/20cb2cdb79844e2064de4884d493bf4efc008d84f37626552842a1ca4d9b4fa5/libcrypto_1_1.so,libs/libcrypto/20cb2cdb79844e2064de4884d493bf4efc008d84f37626552842a1ca4d9b4fa5/libcrypto_1_1.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0021-20cb2cdb7984__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0021-20cb2cdb7984__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0021-20cb2cdb7984__ref__openssl-1.0.1g__version_same,Fast path unavailable; prioritized decompiled path did not show asm-specific semantics. BN_div only validates inputs then delegates to a generic subroutine and performs cleanup; no visible bn_div_3_words assembler-helper call. BN_MONT_CTX_set uses portable BN arithmetic/BN_div setup logic and no Montgomery gather5/scatter5 fast path or CPUID dispatch was observed.
android,com.poppingmoon.aria.apk,eaf1edd8856442cb7a763c4cdba304a50f365fa0917edf8644d2c805f56bd303,lib/arm64-v8a/libwebcrypto.so,libcrypto,libwebcrypto.so,2e947ea36634bb19e177143a940c7e10d6be65b5b59ee2fca5aa91f1b13a5387,arm64-v8a,arm64,arm64-0024-2e947ea36634,openssl,1.0.1g,asm,on,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0024_2e947ea36634_gcc_O2_arm64-0024-2e947ea36634,unique-binaries/libcrypto/2e947ea36634bb19e177143a940c7e10d6be65b5b59ee2fca5aa91f1b13a5387/libwebcrypto.so,libs/libcrypto/2e947ea36634bb19e177143a940c7e10d6be65b5b59ee2fca5aa91f1b13a5387/libwebcrypto.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0024-2e947ea36634__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0024-2e947ea36634__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0024-2e947ea36634__ref__openssl-1.0.1g__version_same,"Fallback decompiled path contains platform-specific AArch64/NEON SIMD code in crypto routines: sub_54AF4 uses int8x16_t vector operations (vorrq_s8/vextq_s8) while processing RSA-related data from crypto/fipsmodule/rsa/rsa_impl.c, and sub_5CC10 returns a value built with NEON veorq_s8/vdupq_laneq_s32 operations."
android,com.gitlab.uak.mobile_paper_wallet.apk,8d6bc5f5076bdd0246938756b86126cdc7701f2468043b5210d4c7ea08460b58,lib/arm64-v8a/libcrypto1.1.so,libcrypto,libcrypto1.1.so,3564bc771a085af905a9f8a79b9bff240eb413ea9465930c2ad96893235f2998,arm64-v8a,arm64,arm64-0026-3564bc771a08,openssl,1.0.1g,asm,off,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0026_3564bc771a08_gcc_O2_arm64-0026-3564bc771a08,unique-binaries/libcrypto/3564bc771a085af905a9f8a79b9bff240eb413ea9465930c2ad96893235f2998/libcrypto1.1.so,libs/libcrypto/3564bc771a085af905a9f8a79b9bff240eb413ea9465930c2ad96893235f2998/libcrypto1.1.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0026-3564bc771a08__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0026-3564bc771a08__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0026-3564bc771a08__ref__openssl-1.0.1g__version_same,"Fast-path unique strings were unavailable. In the prioritized decompiled path, BN_div only validates divisor state then delegates to sub_15B2AC; no visible call to the asm quotient helper bn_div_3_words or related CPU/assembler dispatch was observed. BN_MONT_CTX_set uses generic BN_div calls and no Montgomery gather5/scatter5 fast path appeared before path exhaustion."
android,org.lufebe16.freecell.apk,7b62bb049edd4edf66ea3bd21c3d7af9beb811b94ce5e63167272637bb867527,lib/arm64-v8a/libcrypto1.1.so,libcrypto,libcrypto1.1.so,37f9d30da7841d38a7d1e8f4eb559e37b81eb791db9e1d78db63c02a218d2b7d,arm64-v8a,arm64,arm64-0028-37f9d30da784,openssl,1.0.1g,asm,on,1,1,bench/bin/openssl-1.0.1g/asm/stripped/on/android_libcrypto_0028_37f9d30da784_gcc_O2_arm64-0028-37f9d30da784,unique-binaries/libcrypto/37f9d30da7841d38a7d1e8f4eb559e37b81eb791db9e1d78db63c02a218d2b7d/libcrypto1.1.so,libs/libcrypto/37f9d30da7841d38a7d1e8f4eb559e37b81eb791db9e1d78db63c02a218d2b7d/libcrypto1.1.so,stage2/cp/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0028-37f9d30da784__ref__openssl-1.0.1g__version_same.json,logs/stage2/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0028-37f9d30da784__ref__openssl-1.0.1g__version_same.log,trajectories/gpt55/version_same/openssl-1.0.1g/asm/openssl-1.0.1g__asm__stripped__on__gcc__O2__arm64-0028-37f9d30da784__ref__openssl-1.0.1g__version_same,"Fallback decompiled path shows BN_mod_exp_mont_consttime computing a window size, allocating an aligned power table, then using table helper calls sub_15D598 to store/scatter entries and sub_15D760 to load/gather entries during constant-time Montgomery exponentiation; this includes the specialized table-based fast path corresponding to OpenSSL BN asm Montgomery support."
