case_index,sha256,sha8,arch,decision,source_of_verdict,firmware_dir,binary_name,binary_path,file_type,heartbeat_string_count,heartbeat_string_sample,evidence,case_study_root,binary_path_abs
1,049705af23595cbf506a7c234efd3aec3dcd8340a2faf4001c718483b13d9203,049705af,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28/_others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28.bin.extracted/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, no section header",2,dtls1_heartbeat | dtls1_process_heartbeat,"Edge_3 (tls1_process_heartbeat) contains complete RFC 6520 heartbeat processing: reads record type byte from wire (checks type 1=request vs type 2=response), reads 2-byte big-endian payload length (v10 = v7[2] | (v7[1] << 8)), allocates response buffer with CRYPTO_malloc, sets response type to 2, copies payload length and echoes payload via memcpy(v13+3, v7+3, v10), fills padding with RAND_pseudo_bytes, then sends response via ssl3_write_bytes(a1, 24, v14, v10+19) where 24=0x18=TLS1_RT_HEARTBEAT. Edge_1 (dtls1_process_heartbeat) provides the DTLS variant with identical semantics using dtls1_write_bytes. Edge_2 (ssl3_read_bytes) is the gate dispatch function. This is the Heartbleed-vulnerable heartbeat implementation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28/_others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28.bin.extracted/libssl.so.1.0.0
2,049705af23595cbf506a7c234efd3aec3dcd8340a2faf4001c718483b13d9203,049705af,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28/_others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, no section header",2,dtls1_heartbeat | dtls1_process_heartbeat,"Edge_3 (tls1_process_heartbeat) contains complete RFC 6520 heartbeat processing: reads record type byte from wire (checks type 1=request vs type 2=response), reads 2-byte big-endian payload length (v10 = v7[2] | (v7[1] << 8)), allocates response buffer with CRYPTO_malloc, sets response type to 2, copies payload length and echoes payload via memcpy(v13+3, v7+3, v10), fills padding with RAND_pseudo_bytes, then sends response via ssl3_write_bytes(a1, 24, v14, v10+19) where 24=0x18=TLS1_RT_HEARTBEAT. Edge_1 (dtls1_process_heartbeat) provides the DTLS variant with identical semantics using dtls1_write_bytes. Edge_2 (ssl3_read_bytes) is the gate dispatch function. This is the Heartbleed-vulnerable heartbeat implementation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28/_others-tp-link_en-1.0.1e__AD7200v2-up-ver2-0-1-P1-20170103-rel71053-_2017-01-04_10.08.28.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
3,0bc386bac9268ed31d118bf57da5f39481ac4a19c4fa2449c6225d126ea4933d,0bc386ba,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__TL-NVR6200E_V1.0_1.0.9_Build_190801_Rel.41162n,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6200E_V1.0_1.0.9_Build_190801_Rel.41162n/_others-tp-link_zh-1.0.1e__TL-NVR6200E_V1.0_1.0.9_Build_190801_Rel.41162n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch statement on TLS record type contains `case 24:` (TLS1_RT_HEARTBEAT = 0x18) that calls tls1_process_heartbeat(a1), dispatching heartbeat records to the heartbeat processing function. The implementation functions tls1_process_heartbeat (edge_3) and dtls1_process_heartbeat (edge_1) both implement RFC 6520 heartbeat processing: they read a 1-byte message type and 2-byte payload length from the wire, then for type==1 (heartbeat request) they allocate a response buffer (payload_length + 19), set response type to 2 (heartbeat response), memcpy the payload using the wire-supplied length without bounds checking, fill padding via RAND_pseudo_bytes, and send the response via ssl3_write_bytes/dtls1_write_bytes. For type==2 (heartbeat response), they process the sequence number. This is the complete Heartbleed-era heartbeat extension implementation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__TL-NVR6200E_V1.0_1.0.9_Build_190801_Rel.41162n/_others-tp-link_zh-1.0.1e__TL-NVR6200E_V1.0_1.0.9_Build_190801_Rel.41162n.bin.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
4,0f0f7a94431d41195bf0cf630ad31bacd53ab691435538a906bc9001fe9067bd,0f0f7a94,arm,off,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up,libssl.so,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up.bin.extracted/squashfs-root-0/lib/libssl.so,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",0,,"In the ssl3_read_bytes gate function (edge_2, 523 lines), the record type dispatch logic handles types 20 (change_cipher_spec), 21 (alert), 22 (handshake), and 23 (application_data) but contains NO branch for record type 24 (0x18 = TLS1_RT_HEARTBEAT). The code checks `if (v62 >= 20) { if (v62 <= 22) goto LABEL_192; if (v62 == 23) { ... } }` — type 24 falls through to `if (*a1 != 769) goto LABEL_192`, which triggers an unexpected_message alert (error path). No call to tls1_process_heartbeat or dtls1_process_heartbeat exists anywhere in the function. All other candidate edges (key file loading, cipher handling, SSL_accept) are completely unrelated to heartbeat.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up.bin.extracted/squashfs-root-0/lib/libssl.so
5,0f0f7a94431d41195bf0cf630ad31bacd53ab691435538a906bc9001fe9067bd,0f0f7a94,arm,off,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up.bin.extracted/squashfs-root-0/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",0,,"In the ssl3_read_bytes gate function (edge_2, 523 lines), the record type dispatch logic handles types 20 (change_cipher_spec), 21 (alert), 22 (handshake), and 23 (application_data) but contains NO branch for record type 24 (0x18 = TLS1_RT_HEARTBEAT). The code checks `if (v62 >= 20) { if (v62 <= 22) goto LABEL_192; if (v62 == 23) { ... } }` — type 24 falls through to `if (*a1 != 769) goto LABEL_192`, which triggers an unexpected_message alert (error path). No call to tls1_process_heartbeat or dtls1_process_heartbeat exists anywhere in the function. All other candidate edges (key file loading, cipher handling, SSL_accept) are completely unrelated to heartbeat.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.0-build-20150709Rel.52822_up.bin.extracted/squashfs-root-0/lib/libssl.so.1.0.0
6,0f0f7a94431d41195bf0cf630ad31bacd53ab691435538a906bc9001fe9067bd,0f0f7a94,arm,off,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up,libssl.so,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up.bin.extracted/squashfs-root-0/lib/libssl.so,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",0,,"In the ssl3_read_bytes gate function (edge_2, 523 lines), the record type dispatch logic handles types 20 (change_cipher_spec), 21 (alert), 22 (handshake), and 23 (application_data) but contains NO branch for record type 24 (0x18 = TLS1_RT_HEARTBEAT). The code checks `if (v62 >= 20) { if (v62 <= 22) goto LABEL_192; if (v62 == 23) { ... } }` — type 24 falls through to `if (*a1 != 769) goto LABEL_192`, which triggers an unexpected_message alert (error path). No call to tls1_process_heartbeat or dtls1_process_heartbeat exists anywhere in the function. All other candidate edges (key file loading, cipher handling, SSL_accept) are completely unrelated to heartbeat.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up.bin.extracted/squashfs-root-0/lib/libssl.so
7,0f0f7a94431d41195bf0cf630ad31bacd53ab691435538a906bc9001fe9067bd,0f0f7a94,arm,off,unique_hash_full_dolphin_reuse,others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up.bin.extracted/squashfs-root-0/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",0,,"In the ssl3_read_bytes gate function (edge_2, 523 lines), the record type dispatch logic handles types 20 (change_cipher_spec), 21 (alert), 22 (handshake), and 23 (application_data) but contains NO branch for record type 24 (0x18 = TLS1_RT_HEARTBEAT). The code checks `if (v62 >= 20) { if (v62 <= 22) goto LABEL_192; if (v62 == 23) { ... } }` — type 24 falls through to `if (*a1 != 769) goto LABEL_192`, which triggers an unexpected_message alert (error path). No call to tls1_process_heartbeat or dtls1_process_heartbeat exists anywhere in the function. All other candidate edges (key file loading, cipher handling, SSL_accept) are completely unrelated to heartbeat.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up/_others-tp-link_en-1.0.1e__TouchP5v1-UN-_1.0_en_1.0.1-build-20151013Rel.35527_up.bin.extracted/squashfs-root-0/lib/libssl.so.1.0.0
8,10d0e8135d31e26200929314e23a3abd2d8c94ed13b79e340d615958ed65cfd2,10d0e813,mips,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC_V2.0_1.0.4_BUILD_20190314_REL.75717,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC_V2.0_1.0.4_BUILD_20190314_REL.75717/_IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC_V2.0_1.0.4_BUILD_20190314_REL.75717.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, MIPS, MIPS32 version 1 (SYSV), dynamically linked, stripped",2,dtls1_heartbeat | dtls1_process_heartbeat,"In ssl3_read_bytes (edge_2), a switch on record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1, 21), resetting record state and clearing BIO retry flags. The tls1_process_heartbeat function (edge_3) reads a 1-byte heartbeat type and 2-byte big-endian payload length from the wire buffer, then for type 1 (request): allocates response via CRYPTO_malloc(payload_len+19), sets response type to 2, memcpy's the claimed payload from the input buffer, appends 16 random bytes via RAND_pseudo_bytes, and sends via ssl3_write_bytes with record type 24. For type 2 (response), it validates and increments a sequence counter. The DTLS equivalents are also present: dtls1_read_bytes (edge_5) dispatches case 24 to dtls1_process_heartbeat, which implements the same pattern using dtls1_write_bytes. Source file references 't1_lib.c' and 'd1_both.c' confirm RFC 6520 Heartbeat extension implementation.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC_V2.0_1.0.4_BUILD_20190314_REL.75717/_IPcamera-tp-link_zh-1.0.1e__TL-IPC6220-DC_V2.0_1.0.4_BUILD_20190314_REL.75717.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
9,15ea1c5b6e0f1583839fe1cfce6a0acb25a1352965e4ee236d03190c8e2aeeff,15ea1c5b,arm,on,unique_hash_full_dolphin_reuse,others-tp-link_zh-1.0.1e__nvr5104v2,libssl.so.1.0.0,3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr5104v2/_others-tp-link_zh-1.0.1e__nvr5104v2.bin.extracted/squashfs-root/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, stripped",6,dtls1_heartbeat | dtls1_process_heartbeat | DTLS1_HEARTBEAT | SSL_F_TLS1_HEARTBEAT | peer does not accept heartbeats,"In ssl3_read_bytes (edge_2), the record-type dispatch switch contains `case 24: tls1_process_heartbeat(a1);` — record type 24 (0x18 = TLS1_RT_HEARTBEAT) is dispatched to the heartbeat handler, confirming the gate that makes heartbeat reachable. The implementation (edge_3: tls1_process_heartbeat) reads a heartbeat message type byte and a 2-byte payload length from the wire, allocates a response with type=2, memcpy's the payload, calls RAND_pseudo_bytes for padding, and sends the response via ssl3_write_bytes with record type 24. The DTLS variant (edge_1: dtls1_process_heartbeat) exhibits identical behavior via dtls1_write_bytes. This is full RFC 6520 heartbeat request/response implementation including the Heartbleed over-read pattern.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/others-tp-link_zh-1.0.1e__nvr5104v2/_others-tp-link_zh-1.0.1e__nvr5104v2.bin.extracted/squashfs-root/lib/libssl.so.1.0.0
10,18bed4bd2a5a0c11e9df4256d25853c301b09697023ba17999222d41a8006bcd,18bed4bd,arm,on,unique_hash_full_dolphin_reuse,IPcamera-tp-link_zh-1.0.1e__TL-IPC433-P--X_1.0,libssl.so.1.0.0,3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC433-P--X_1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC433-P--X_1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0,"ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, with debug_info, not stripped",6,dtls1_heartbeat | dtls1_process_heartbeat | tls1_heartbeat | tls1_process_heartbeat | dtls1_heartbeat,"In ssl3_read_bytes (edge_2), a switch on record type dispatches case 24 (0x18 = TLS1_RT_HEARTBEAT) directly to tls1_process_heartbeat(a1), then clears read buffer state and BIO flags. This is the gate proving heartbeat records reach the handler. The handler (edge_3, tls1_process_heartbeat) reads message type byte and 2-byte big-endian payload length (v6 = v2[2] | (v2[1] << 8)), then on type==1 allocates response buffer, sets type=2, copies payload via memcpy(v7+3, v2+3, v6) without bounds checking (Heartbleed pattern), pads with RAND_pseudo_bytes, and sends via ssl3_write_bytes. A DTLS variant dtls1_process_heartbeat (edge_1) shows the same pattern with dtls1_write_bytes. All three feature hints confirmed: tls1_process_heartbeat, dtls1_process_heartbeat, and ssl3_read_bytes dispatch branch.",3-case-study-firmware/dolphin-heartbleed,3-case-study-firmware/dolphin-heartbleed/3-case-study/extracted/heartbleed/IPcamera-tp-link_zh-1.0.1e__TL-IPC433-P--X_1.0/_IPcamera-tp-link_zh-1.0.1e__TL-IPC433-P--X_1.0.BIN.extracted/squashfs-root/usr/lib/libssl.so.1.0.0
